          domination	          domination	          dominasj§	       NOM	                    	         f	         s	         4	                                 épique	                        emprise;oppression;tyranie	politique;patriarcat;émancipation;structure;esprit	                             politique;philosophie
             griffes	              griffe	                gRif	       NOM	                    	         f	         p	         1	                    épique;science	                                   serres;crochets	  agressivité;agressive;marque;lacérer;blessures	                            animal;politique;folie
              pelage	              pelage	              p°laZ	       NOM	                    	         m	         s	         2	                            science	                                     fourrure;poil	hiver;laine;chaleur;mammifère;vêtements;protection;froid	                                   animal;commerce
              animal	              animal	              animal	       ADJ	                    	         m	         s	         3	                                 épique	                       instinctif;fougueux;féroce	   tempérament;survie;inconscient;énergie;fougue	                          psychologie;folie
              animal	              animal	              animal	       NOM	                    	         m	         s	         3	                                  neutre	                                   bête;créature	         vivant;vie;règne;instinct;nature;sauvage	                             animal;chasse;épique
                lait	                lait	                  lE	       NOM	                    	         m	         s	         1	                                  neutre	                                                  	   fromage;vache;brebis;boisson;chèvre;nourissant	                                    animal;cuisine
           terrestre	           terrestre	             tEREstR	       ADJ	                    	          	         s	         2	                                  neutre	                                                  	                                 animaux;vie;terre	                          science;psychologie
               utile	               utile	                ytil	       ADJ	                    	          	         s	         2	                                  neutre	                                pratique;salutaire	 outil;nécessaire;nécessité;avantages;précieux	                                                  
           squelette	           squelette	             sk°lEt	       NOM	                    	         m	         s	         2	                            science	                                 ossature;carcasse	                        mort;architecture;os;corps	                   science;animal;folklore
               dents	                dent	                  d@	       NOM	                    	         f	         p	         1	                                  neutre	                                  molaires;chicots	bouche;mâchoire;crocs;jalousie;rancune;animosité	                          science;psychologie
                 lac	                 lac	                 lak	       NOM	                    	         m	         s	         1	                           mélancolique	                                     lagune;bassin	nature;étang;mystère;eau;source;claire;profond;pêche	        chasse;pêche;géographie;art;science
               poils	                poil	                pwal	       NOM	                    	         m	         p	         1	                    comique;science	                                                  	          pelage;fourrure;barbe;broussailleux;peau	                                             corps
              viande	              viande	                vj@d	       NOM	                    	         f	         s	         1	                    science;comique	                                          barbaque	      cuisine;nourriture;animal;chair;manger;rouge	                             cuisine;animal;chasse
            rivière	            rivière	              RivjER	       NOM	                    	         f	         s	         2	      lyrique;science;mélancolique	                                  torrent;ruisseau	eau;écoulement;calme;agitation;fleuve;méandres;ondulée	géographie;science;pêche;navigation;commerce
              étang	              étang	                 et@	       NOM	                    	         m	         s	         2	                                  neutre	                                       mare;bassin	grenouille;oiseau;eau;stagner;humide;brouillard;roseaux	                                géographie;pêche
